legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,genere,relazione_complesso
"Calamandrei, Piero, giurista, insegnante, pubblicista, antifascista, politico, (Firenze 1889 - Firenze 1956)",,,,,,,,,,,,,,,,,,,,
De Gasperi,"Degasperi, Alcide",,person,Alcide,De Gasperi,"De Gasperi, Alcide, giornalista, politico, (Pieve Tesino, 1881 - Borgo Valsugana, 1954)",SIUSA,,,1881 apr 03,1954 ago 19,luogo di nascita,Pieve Tesino (Trento),luogo di nascita,Pieve Tesino (Trento),Giornalista,,,maschile,ca-593719
Alcide,,,,,,,,,,,,,,luogo di morte,Borgo Valsugana (Trento),,,,,
"De Gasperi, Alcide, giornalista, politico, (Pieve Tesino, 1881 - Borgo Valsugana, 1954)",,,,,,,,,,,,,,,,,,,,
"Degasperi, Alcide",,,,,,,,,,,,,,,,,,,,
C. De Poli Clerici,,,,,,,,,,,,,,,,,,,,
Rerum scriptor,,,,,,,,,,,,,,,,,,,,
Spectator,,,,,,,,,,,,,,,,,,,,
Silentiarius,,,,,,,,,,,,,,,,,,,,
Zanatta,,,,,,,,,,,,,,,,,,,,
Istituto nazionale della previdenza sociale. Agenzia di produzione di Riva del Garda,INPS. Agenzia di produzione di Riva del Garda,dal luglio 1998,corporateBody,,,"Istituto nazionale della previdenza sociale. Centro operativo di Riva del Garda, Riva del Garda (Trento), 1994 - 1998",SIUSA,1994 set,,,,Sede,Riva del Garda (Trento),Sede,Riva del Garda (Trento),,pubblico,"ente di credito, assicurativo, previdenziale",,ca-326749
"Istituto nazionale della previdenza sociale. Centro operativo di Riva del Garda, Riva del Garda (Trento), 1994 - 1998",,,,,,,,,,,,,,,,,,,,
"Istituto nazionale della previdenza sociale. Agenzia di produzione di Riva del Garda, Riva del Garda (Trento), 1998 -",,,,,,,,,,,,,,,,,,,,
"INPS. Agenzia di produzione di Riva del Garda, Riva del Garda (Trento), 1998 -",,,,,,,,,,,,,,,,,,,,
INPS. Agenzia di produzione di Riva del Garda,,,,,,,,,,,,,,,,,,,,
INPS. Centro operativo di Riva del Garda,,,,,,,,,,,,,,,,,,,,
Disertori,,,person,Giuseppe,Disertori,"Disertori, Giuseppe, psichiatra, filosofo, politico, scrittore, (Trento 1907 - 1992)",SIUSA,,,1907 giu 19,1992 mag 05,luogo di nascita,Trento,luogo di nascita,Trento,"psichiatra, filosofo, politico, scrittore",,,maschile,ca-352594
Giuseppe,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
Beppino,,,,,,,,,,,,,,,,,,,,
"Disertori, Giuseppe, psichiatra, filosofo, politico, scrittore, (Trento 1907 - 1992)",,,,,,,,,,,,,,,,,,,,
Lorenzi,,,person,Giovanni,Lorenzi,"Lorenzi, Giovanni, ingegnere, (Lavis 1901 - Trento 1962)",SIUSA,,,1901 gen 16,1962 nov 26,luogo di nascita,Lavis (Trento),luogo di nascita,Lavis (Trento),Ingegnere,,,maschile,ca-359809
Giovanni,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Lorenzi, Giovanni, ingegnere, (Lavis 1901 - Trento 1962)",,,,,,,,,,,,,,,,,,,,
Ciocca,,,person,Gaetano,Ciocca,"Ciocca, Gaetano, ingegnere, (Pavia 1882 - Pavia 1966)",SIUSA,,,1882 giu 27,1966 ott 31,luogo di nascita,Pavia,luogo di nascita,Pavia,"Ingegnere, inventore, saggista",,,maschile,ca-359820
Gaetano,,,,,,,,,,,,,,luogo di morte,Pavia,,,,,
"Ciocca, Gaetano, ingegnere, (Pavia 1882 - Pavia 1966)",,,,,,,,,,,,,,,,,,,,
De Giorgio,,,person,Quirino,De Giorgio,"De Giorgio, Quirino, architetto, (Palmanova 1907 - Abano Terme 1997)",SIUSA,,,1907 dic 27,1997 apr 19,luogo di nascita,Palmanova (Udine),luogo di nascita,Palmanova (Udine),Architetto,,,maschile,ca-359825
Quirino,,,,,,,,,,,,,,luogo di morte,Abano Terme (Padova),,,,,
"De Giorgio, Quirino, architetto, (Palmanova 1907 - Abano Terme 1997)",,,,,,,,,,,,,,,,,,,,
Impresa costruzioni edilizie Amitrano,,,corporateBody,,,"Impresa costruzioni edilizie Amitrano, Capri (Napoli), [1938 ante] - 1991",SIUSA,sec. XX inizio,,,,Sede,Capri (Napoli),Sede,Capri (Napoli),,,,,ca-359843
"Impresa costruzioni edilizie Amitrano, Capri (Napoli), [1938 ante] - 1991",,,,,,,,,,,,,,,,,,,,
Toniolatti,,,person,Giorgia,Toniolatti,"Toniolatti, Giorgia, architetto, (Trento 1927 - Rovereto 2003)",SIUSA,,,1927 dic 02,2003 set 12,luogo di nascita,Trento,luogo di nascita,Trento,Architetto,,,femminile,ca-359847
Giorgia,,,,,,,,,,,,,,luogo di morte,Rovereto,,,,,
"Toniolatti, Giorgia, architetto, (Trento 1927 - Rovereto 2003)",,,,,,,,,,,,,,,,,,,,
Mansutti,,,person,Francesco,Mansutti,"Mansutti, Francesco, architetto, ingegnere, (Porto Viro 1899 - Padova 1969)",SIUSA,,,1899 ago 20,1969 mar 18,luogo di nascita,Porto Viro (Rovigo),luogo di nascita,Porto Viro (Rovigo),"Architetto, ingegnere",,,maschile,ca-359849
Francesco,,,,,,,,,,,,,,luogo di morte,Padova,,,,,
"Mansutti, Francesco, architetto, ingegnere, (Porto Viro 1899 - Padova 1969)",,,,,,,,,,,,,,,,,,,,
Miozzo,,,person,Gino,Miozzo,"Miozzo, Gino, architetto, ingegnere, (Padova 1898 - Padova 1969)",SIUSA,,,1898 ott 18,1969 ott 20,luogo di nascita,Padova,luogo di nascita,Padova,"Architetto, ingegnere",,,maschile,ca-359849
Gino,,,,,,,,,,,,,,luogo di morte,Padova,,,,,
"Miozzo, Gino, architetto, ingegnere, (Padova 1898 - Padova 1969)",,,,,,,,,,,,,,,,,,,,
Mazzoni,,,person,Angiolo,Mazzoni,"Mazzoni, Angiolo, architetto,  (Bologna 1894 - Roma 1979)",SIUSA,,,1894 mag 21,1979 set 29,luogo di nascita,Bologna,luogo di nascita,Bologna,Architetto,,,maschile,ca-359851
Angiolo,,,,,,,,,,,,,,luogo di morte,Roma,,,,,
"Mazzoni, Angiolo, architetto,  (Bologna 1894 - Roma 1979)",,,,,,,,,,,,,,,,,,,,
Perghem Gelmi,,,person,Michelangelo,Perghem Gelmi,"Perghem Gelmi, Michelangelo, ingegnere, (Innsbruck 1911 - Trento 1992)",SIUSA,,,1911 dic 11,1992 ago 01,luogo di nascita,Innsbruck,luogo di nascita,Innsbruck,Ingegnere,,,maschile,ca-359852
Michelangelo,,,,,,,,,,,,,,luogo di morte,Trento,,,,,
"Perghem Gelmi, Michelangelo, ingegnere, (Innsbruck 1911 - Trento 1992)",,,,,,,,,,,,,,,,,,,,
Sottsass,,,person,Ettore,Sottsass,"Sottsass, Ettore, architetto, (Nave San Rocco 1892 - Torino 1953)",SIUSA,,,1892 apr 12,1953 ott 05,luogo di nascita,Nave San Rocco (Trento),luogo di nascita,Nave San Rocco (Trento),Architetto,,,maschile,ca-359853
Ettore,,,,,,,,,,,,,,luogo di morte,Torino,,,,,
"Sottsass, Ettore, architetto, (Nave San Rocco 1892 - Torino 1953)",,,,,,,,,,,,,,,,,,,,
