legalName,altraDenominazione,dataAltraDenominazione,localType,nome,cognome,intestazione,authorizedFrom,existenceRangeFromDate,existenceRangeToDate,dataNascita,dataMorte,placeRole,placeEntry,otherPlaceRole,otherPlaceEntry,professione,legalStatus,tipologiaEnte,history,genere,relazione_complesso,relazione_tema,relazione_bib
Pedrotti,,,person,Maria,Pedrotti,"Pedrotti Regazzola, Maria, (Trento 1904 - Trento 1987)",SIUSA,,,1904,1987,luogo di nascita,Trento,luogo di nascita,Trento,,,,,femminile,ca-416311,Trentino-Alto Adige - Archivi femminili,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Luigi,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
"Regazzola, Luigi, (Este 1889 - Brescia 1950)",,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di morte,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Brescia,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di morte,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Brescia,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Rete Parri,
Regazzola,,,person,Luigi,Regazzola,"Regazzola, Luigi, (Este 1889 - Brescia 1950)",SIUSA,,,1889 mag 30,1950 set 15,luogo di nascita,Este,luogo di nascita,Este,,,,,maschile,ca-416311,Trentino-Alto Adige - Archivi femminili,
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Fabbrica Tabacchi di Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Ente Tabacchi Italiano - ETI di Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
British American Tobacco Italia s.p.a. di Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Ente Tabacchi Italiano - ETI di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,British American Tobacco Italia s.p.a. di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1998 - 1999,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1999 - 2008,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,privato,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,stato,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,ente economico/impresa,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"MANIFATTURA TABACCHI DI ROVERETO, 100 anni della Manifattura Tabacchi di Rovereto, Roma 1955"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"F. BENEDETTI, La donna invisibile. Ricerca sulle masere in Vallagarina, in Corsi sperimentali per lavoratori: Rovereto-Lavis, a. scol. 1978-79, Trento 1979, pp. 1-241, 1-241"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"A. GEROLA, I 150 anni del gigante. Storia della Manifattura Tabacchi di Rovereto attraverso immagini e testimonianze, Rovereto 2004"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"N. M. FARINI, L'introduzione del monopolio statale dei tabacchi nella provincia di Trento, dattiloscritto sine data conservato in Biblioteca Civica di Rovereto"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"F. BENEDETTI et al., La Manifattura Tabacchi: 1854-1978. Alle origini della classe operaia roveretana, in Corsi sperimentali per lavoratori: Rovereto-Lavis, a. scol. 1977-78, Trento 1978, pp. 193-29;"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"L. CHIUSOLE, La Manifattura Tabacchi di Borgo Sacco, ""I Quattro Vicariati e le zone limitrofe"", XVI (1972), pp. 79-86, 79-82"
Manifattura Tabacchi di Borgo Sacco/Rovereto,Fabbrica Tabacchi di Rovereto,1854 - 1998,corporateBody,,,"Manifattura Tabacchi, Borgo Sacco/Rovereto, 1854 - 1999",SIUSA,1854,2008,,,Sede,Borgo Sacco (Rovereto),Sede,Borgo Sacco (Rovereto),,pubblico,preunitario,,,ca-416315,Trentino-Alto Adige - Archivi femminili,"G. MARCADELLA, L'archivio della Manifattura Tabacchi di Rovereto è memoria femminile, in La memoria femminile negli archivi del Trentino-Alto Adige. Seconda giornata di studio per la valorizzazione del patrimonio archivistico del Trentino-Alto Adige, a cura di G. FOGLIARDI e M. GARBARI, supplemento di ""Studi Trentini di Scienze Storiche, 2008 (LXXXVII) pp. 299-306."
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Andreina,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Emeri Andreina,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di morte,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Capo Nord (Norvegia),luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di morte,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Capo Nord (Norvegia),"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Ardizzone Emeri,Emeri Andreina,,person,Andreina,Ardizzone Emeri,"Ardizzone Emeri Andreina, femminista, (Bolzano 1936 - Capo Nord 1985)",SIUSA,,,1936 feb 01,1985 lug 30,luogo di nascita,Bolzano,luogo di nascita,Bolzano,"femminista, avvocato e politica sudtirolese",,,,femminile,ca-416333,Trentino-Alto Adige - Archivi femminili,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri,Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,,ca-416357,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri,Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,,ca-416357,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,,ca-416357,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano, Bolzano, 1973 -",Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,,ca-416357,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,,ca-416357,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri,Associazione Italiana per l'Educazione Demografica - AIED di Bolzano,1973 - 1992,corporateBody,,,"Associazione Italiana per l'Educazione Demografica - AIED di Bolzano. Sezione Andreina Emeri, Bolzano, 1973 -",SIUSA,1973,,,,Sede,Bolzano,Sede,Bolzano,,privato,"ente di cultura, ricreativo, sportivo, turistico",,,ca-416357,Donne,"Andreina Emeri: Scritti e ricordi / Schriften und Erinnerungen 1936 - 1985, a cura di I. FACCHINELLI - E. RABINI, Bolzano, Fondazione Alexander Langer, 2005"
